,40.0
contemplbase,149.0
contemple,100.0
contempletur,87.0
contemplo,166.0
contemplor,114.0
contemporaneous,109.0
contemporaneously,105.0
contemporaries,102.5
contemporariesand,131.0
contemporary,112.0
contemporarya,133.0
contempt,65.5
contemptible,92.0
contemptibly,88.0
contemptibus,121.0
contemptius,60.0
contempts,67.5
contemptuous,99.0
contemptuously,102.0
contemptuousness,133.0
contena,156.0
contenan,164.0
contend,83.0
contendamus,130.0
contended,77.0
contender,128.0
contendere,117.0
contenders,81.0
contendest,41.0
contendeth,78.0
contendieron,103.0
contendiesen,62.0
contending,95.0
contendor,57.0
contendr,85.0
contends,99.0
contener,127.0
contenerse,97.0
contenga,76.0
contengo,94.0
contenido,80.0
contenindome,76.0
contenindose,62.0
content,74.0
contenta,152.0
contentaba,124.0
contentado,82.0
contentalle,78.0
contentan,73.0
contentand,113.0
contentar,105.0
contentara,71.0
contentare,93.0
contentarle,67.0
contentarme,91.0
contentaron,67.0
contentarse,124.0
contentas,73.5
contentase,59.0
contentasen,80.0
contentation,86.0
contentby,76.0
contentd,56.0
contente,109.0
contented,80.5
contentedconversing,142.0
contentedly,94.5
contentedness,151.0
contentedthat,134.0
contentedwill,73.0
contenteth,69.0
contenting,123.0
contention,96.0
contentions,78.5
contentionthe,105.0
contentious,85.5
contentiousness,127.0
contentless,72.0
contently,79.0
contentment,100.0
contentments,73.0
contentndose,152.0
contento,36.5
contentos,102.0
contentremove,39.0
contents,107.5
contentse,142.0
contentsima,106.0
contentsimas,119.0
contentsimo,142.0
contentsthere,78.0
contes,94.5
contest,84.0
contestable,192.0
contestaeneid,29.0
contestant,41.0
contestants,85.5
contestas,119.0
contestation,162.0
contestations,182.0
contested,108.5
contestglare,101.0
contesting,116.5
contestmore,51.0
contesto,67.0
contests,86.5
contestthat,119.0
contestura,107.0
context,88.0
contexture,87.5
contextus,80.0
contez,94.0
contienda,101.0
contiendas,129.0
contiene,93.0
contienen,89.0
contigit,154.0
contigo,191.0
contiguity,106.5
contiguous,106.0
contil,134.0
contina,95.0
continence,141.0
continencia,99.0
continency,119.0
continencys,134.0
continent,72.5
continental,119.0
continentals,90.5
continente,100.0
continentiam,164.0
continentis,29.5
continentof,50.0
continents,98.5
continet,95.0
contingencia,116.0
contingencies,108.0
contingency,131.0
contingent,90.5
contingente,132.0
contingentof,65.0
contingents,145.0
contingeret,135.0
contingit,142.0
continindose,106.0
continiwally,129.0
contino,93.5
continos,129.0
continu,94.0
continua,140.0
continuacin,144.0
continuado,73.0
continual,91.0
continuall,70.0
continually,80.0
continuallyimpending,76.0
continuallynot,63.0
continuamente,118.0
continuance,87.0
continuanceand,117.0
continuantly,128.0
continuar,61.0
continuas,99.0
continuate,89.0
continuation,98.0
continuations,135.0
continud,117.0
continue,73.0
continued,70.5
continuedadele,96.0
continuedand,101.0
continuedbeowulfs,194.0
continuedcathy,64.0
continuedhe,86.0
continuedi,85.0
continuedthe,206.0
continuedyes,127.0
continuer,114.0
continues,84.0
continueth,80.0
continuing,99.0
continuingthat,93.0
continuingthey,117.0
continuit,200.0
continuities,94.0
continuity,93.0
continuo,109.0
continuoque,141.0
continuos,88.0
continuous,108.0
continuously,94.5
continust,73.0
contis,119.0
contla,62.0
contle,148.0
contles,73.0
contndole,194.0
contndolos,125.0
contndonos,101.0
contndose,47.0
contndoseles,122.0
contntate,99.0
conto,56.0
contoneo,115.0
contorno,99.0
contornos,137.0
contort,97.5
contorta,147.0
contorted,118.0
contorting,55.5
contortion,98.5
contortions,139.0
contour,78.5
contours,135.0
contr,55.0
contra,86.0
contraband,86.0
contrabands,146.0
contrabass,85.0
contract,159.0
contracted,95.0
contractee,101.0
contracteth,93.0
contracting,116.0
contractio,101.0
contraction,89.5
contractions,118.0
contractor,89.0
contractors,102.5
contracts,102.0
contractthe,98.0
contradeca,107.0
contradecir,77.0
contradecirla,130.0
contradecirlo,147.0
contradecirme,68.0
contradicin,118.0
contradick,57.0
contradict,80.0
contradicted,88.5
contradicteth,112.0
contradicting,110.0
contradictio,120.0
contradiction,83.0
contradictions,94.0
contradictories,100.0
contradictorilyhe,122.0
contradictorilystrong,123.0
contradictors,110.0
contradictory,94.0
contradicts,108.5
contradiga,100.0
contradistinction,107.0
contradistinguished,78.0
contrahacer,143.0
contrahecha,154.0
contrahechas,125.0
contrahecho,88.0
contrahi,118.0
contraire,51.5
contrairy,74.0
contralto,105.5
contraltohum,59.0
contramina,31.0
contransmagnificandjewbangtantiality,110.0
contrapuestas,105.0
contrapuestos,90.0
contrapunto,143.0
contrapuntos,73.0
contraria,99.0
contrarie,148.0
contraries,103.0
contrarieties,80.5
contrariety,95.0
contrariis,117.0
contrarily,137.0
contrario,119.5
contrarios,113.0
contrarious,52.5
contrariously,123.0
contrarius,156.0
contrariwise,98.0
contrary,46.5
contrarybiblical,55.0
contrarydr,101.0
contraryi,115.5
contraryminded,84.0
contrarythat,93.0
contrarywhat,115.0
contrarywill,50.0
contraryyou,81.0
contraseo,39.0
contrast,91.0
contrastado,97.0
contrastando,84.0
contraste,143.0
contrasted,119.0
contrasting,127.0
contrastingly,140.0
contrasts,126.0
contrastwhich,120.0
contrat,124.0
contratacin,110.0
contrato,97.0
contratsocial,73.0
contravene,68.0
contravened,167.0
contravenes,103.0
contravenido,98.0
contravening,127.0
contravenir,63.0
contravention,76.0
contraventions,94.0
contre,155.0
contrecho,98.0
contreras,106.0
contretemps,100.0
contribute,80.0
contributed,79.0
contributedfreedoms,63.0
contributes,88.0
contributing,108.0
contribution,95.5
contributions,234.0
contributor,82.0
contributors,87.0
contributory,144.0
contristantur,68.5
contrite,92.0
contritely,65.0
contrition,108.5
contrivance,102.0
contrivances,119.0
contrivd,134.0
contrive,76.0
contrived,83.0
contrivedno,181.0
contrivedst,107.0
contriver,107.0
contrivers,120.0
contrives,114.0
contriving,91.0
contrmelo,91.0
contro,72.0
control,89.0
controland,82.0
controld,84.0
controlhe,67.0
controlis,138.0
controllable,85.0
controlld,65.5
controlled,95.0
controlledly,84.0
controller,56.5
controllergeneral,60.0
controllers,106.0
controlling,102.0
controlment,122.0
controls,123.0
controlt,94.0
controlthe,129.0
contronle,164.0
controslo,156.0
controul,126.0
controule,80.5
controuler,88.0
controuleth,57.0
controulings,31.0
controvers,102.0
controversial,123.0
controversie,71.0
controversies,105.0
controversy,111.0
controversyit,110.0
controvert,88.0
controverted,120.0
controverting,88.0
controverts,96.0
controwl,89.0
contrtela,120.0
contrudere,164.0
contselo,96.0
contttented,182.0
contulerim,182.0
contulit,168.0
contumacie,135.0
contumacious,197.0
contumaciously,133.0
contumaciter,171.0
contumacy,74.0
contumaz,168.0
contumelies,81.5
contumelious,96.5
contumeliously,144.0
contumely,100.0
conturbatur,160.0
conturbes,251.0
contury,126.0
contused,117.0
contusi,238.0
contusion,91.0
contusions,135.0
conundrum,124.0
conundrums,204.0
convalesce,150.0
convalescence,86.0
convalescent,87.0
convalescentcicero,125.0
convalescentes,144.0
convalescents,72.5
convalescing,106.0
convaluere,65.0
convectare,120.0
convected,73.0
conveighed,84.0
convellere,170.0
convena,131.0
convenance,135.0
convenances,87.0
convencido,52.0
convendr,142.0
convene,53.5
convened,104.5
convenencia,162.0
convenes,131.0
convenga,101.0
convengan,131.0
conveniant,156.0
conveniat,253.0
convenible,107.0
convenience,81.0
conveniencefancying,84.0
conveniences,82.0
conveniencies,70.0
conveniency,94.0
convenient,96.0
conveniente,94.0
convenientes,205.0
conveniently,86.0
convenimos,70.0
convening,123.0
convenirle,99.0
convenit,150.0
conveniunt,155.0
convent,66.0
conventa,141.0
convented,113.0
conventicle,97.0
conventicles,140.5
convention,70.5
conventional,97.0
conventionali,181.0
conventionalist,80.0
conventionalities,107.5
conventionality,107.0
conventionally,108.5
conventionalshockingly,99.0
conventionan,98.0
conventionary,118.0
conventionarys,51.0
conventioncan,118.0
conventions,92.0
conventionthe,118.0
conventlike,106.0
conventmaternity,120.0
conventone,110.0
convents,122.5
conventthe,81.0
conventual,83.0
convenue,88.0
converge,111.5
converged,93.0
convergence,177.0
converges,98.0
converging,49.0
conversa,162.0
conversaba,200.0
conversable,106.0
conversacin,89.0
conversaciones,60.0
conversant,89.0
conversantbut,94.0
conversantit,89.0
conversation,58.0
conversationa,92.0
conversational,138.0
conversationalist,81.0
conversationalists,65.0
conversationand,67.0
conversationcount,107.0
conversationfragments,114.0
conversationi,113.0
conversationinterrupted,82.0
conversationit,70.0
conversationof,107.0
conversationpermit,154.0
conversations,104.0
conversationstiffening,255.0
conversationstiffeningbolder,235.0
conversationwas,127.0
conversaziones,136.0
conversd,55.5
converse,78.5
conversed,80.0
conversely,110.0
converses,116.0
conversible,83.0
conversin,124.0
conversing,99.0
conversion,93.0
conversions,137.0
converso,192.0
convert,85.0
converted,85.0
convertest,116.0
converteth,66.0
convertible,110.0
convertida,42.0
convertido,108.0
converting,104.0
convertite,87.0
convertites,63.0
converts,114.0
converzationes,87.0
convex,108.0
convexity,98.5
convey,71.0
conveyance,86.0
conveyancei,147.0
conveyancer,79.0
conveyancers,103.0
conveyances,100.0
conveyancing,61.0
conveyd,120.0
conveyed,83.0
conveyedwhich,56.0
conveyers,121.0
conveyeth,29.0
conveying,99.0
conveys,117.0
conveyst,117.0
conveywe,56.0
conveyyet,63.0
convicia,43.0
convict,72.5
convicted,83.5
convictguard,84.0
convicting,121.5
conviction,85.0
convictionaiming,103.0
convictioni,142.0
convictionmy,192.0
convictionnot,160.0
convictiononly,150.0
convictions,100.0
convictionsdo,138.0
convictionthat,33.0
convictiontill,119.0
convicts,102.0
convictsa,118.0
convictsand,178.0
convictsergeants,130.0
convid,126.0
convida,92.0
convidaba,132.0
convidado,96.0
convidador,145.0
convidados,98.0
convidando,117.0
convidase,138.0
convido,114.0
conviene,169.0
convienen,127.0
convient,152.0
convierta,48.0
convincd,75.0
convince,75.5
convinced,66.0
convincedas,65.0
convincedthis,68.0
convinces,105.0
convinceth,74.0
convincing,93.0
convincingif,56.0
convincingly,79.0
convino,101.0
convinto,88.0
convirtalas,87.0
convirti,71.0
convirtieron,110.0
convirtindoseles,102.0
convirtisemos,144.0
convites,110.0
conviv,171.0
convive,75.0
convivia,129.0
convivial,126.5
conviviality,141.0
convivium,78.0
convocation,59.0
convocations,63.0
convoke,104.0
convoked,148.0
convoking,98.0
convolute,69.0
convolutions,74.5
convolvd,39.0
convolvuli,79.0
convolvulus,165.0
convolvuluses,132.0
convoy,84.5
convoyd,36.0
convoyed,105.0
convoying,131.0
convoyman,105.0
convoys,132.0
convulsa,149.0
convulsd,116.0
convulse,105.0
convulsed,103.0
convulsedeh,66.0
convulsedis,139.0
convulsing,121.5
convulsion,67.0
convulsionheaving,197.0
convulsionists,84.0
convulsions,102.0
convulsive,95.0
convulsively,103.0
convulsivelyadieu,99.0
conway,111.0
conways,60.0
conweniency,111.0
conwenient,72.0
conwey,20.5
conwict,93.0
cony,74.0
conybeare,275.0
conycatch,81.0
conycatchd,22.5
conycatching,143.0
conzie,116.0
coo,176.0
coocks,66.0
coocoo,203.0
cooed,145.0
cooee,75.0
cooeeing,83.0
cooees,68.0
cooing,103.0
cooings,181.0
cook,85.0
cooka,73.0
cookable,135.0
cookand,84.0
cookd,103.0
cooked,93.5
cookedup,52.0
cookers,138.0
cookery,108.0
cookerythat,102.0
cookerywhich,131.0
cookes,167.0
cookey,106.0
cookhere,105.0
cookies,81.0
cooking,92.0
cookingstove,92.0
cookmaids,104.0
cookman,68.0
cookroom,104.0
cooks,113.0
cooksail,145.0
cookshop,76.0
cookshops,104.0
cookson,89.0
cooksthat,88.0
cooksthrough,134.0
cookstove,158.0
cookswho,104.0
cookthough,88.0
cookwheres,144.0
cooky,25.5
cool,84.5
cooland,156.0
coolcool,99.0
coolcucumbers,148.0
coold,148.0
coole,58.0
cooled,99.0
coolenfolding,143.0
cooler,90.0
coolest,75.5
coolfarewell,106.0
coolheaded,105.0
cooling,94.0
coolingdraught,101.0
coolly,107.5
coolness,92.0
coolnessfrightened,132.0
cools,86.0
coolsoft,22.0
coolwrappered,72.0
cooly,140.0
coom,115.0
coombe,68.0
coome,55.0
coompa,75.0
coon,117.0
coons,126.0
coonseekers,128.0
coonville,23.5
cooompany,133.0
coop,75.0
coopd,58.0
cooped,107.0
cooper,105.0
cooperate,79.0
cooperated,54.0
cooperates,110.0
cooperating,136.0
cooperation,78.0
cooperationgrim,142.0
cooperative,94.5
cooperatively,98.0
coopering,356.5
coopers,142.0
coopershop,122.0
coopfattened,124.0
coopman,96.0
coops,91.0
coordinate,104.5
coordinated,84.5
coordination,45.0
coos,89.0
coosa,45.0
coosas,82.0
cootehill,100.0
coots,113.0
cop,134.0
copa,117.0
copae,160.0
copartner,116.0
copartners,65.0
copartnership,132.0
copatain,63.0
copd,90.0
cope,89.0
copeau,49.0
copeck,92.0
copecks,61.0
copecksa,111.0
copeckshe,115.0
copenhagen,160.0
copenhagena,158.0
copernican,65.5
copernicus,84.5
copest,152.0
copestone,62.5
copestones,117.0
copet,118.0
copete,98.0
cophetua,146.5
copia,107.5
copiam,72.0
copied,174.0
copier,101.0
copies,117.0
coping,50.0
copings,97.0
copingstone,51.0
copioso,46.5
copiossimo,87.0
copious,108.5
copiously,103.0
copiousness,149.0
copiousnesse,109.0
copla,72.0
coplas,129.0
coplee,193.0
copleros,153.0
copley,94.0
coplitas,167.0
copo,62.0
copos,119.0
coppaleen,100.0
copped,124.0
copper,95.0
copperas,126.0
copperbreasted,133.0
coppercoins,116.0
coppercolored,92.0
coppered,113.5
copperfastened,93.0
coppergreen,143.0
copperplate,83.0
copperplates,90.0
copperpump,72.0
copperred,115.0
coppers,109.0
coppersmith,99.0
copperspur,169.0
coppersrun,87.0
copperstick,72.0
coppice,107.5
coppicewood,116.5
copreus,77.0
cops,96.0
copse,101.0
copses,89.0
copst,72.0
coptic,81.5
copula,129.0
copulate,88.5
copulated,133.0
copulating,134.0
copulation,82.0
copulations,163.0
copulative,81.0
copulatives,71.0
copy,111.0
copybook,75.0
copybooks,117.0
copyd,123.0
copyer,121.0
copying,196.0
copyingclerk,188.0
copyist,108.0
copyists,118.0
copyleft,91.0
copymoney,91.0
copyright,82.0
copyrighted,190.0
copyrights,86.0
copys,22.5
copythere,41.0
coqheron,90.0
coquat,140.0
coquers,74.0
coquet,74.5
coquetry,66.0
coquette,96.0
coquetted,62.0
coquettes,120.0
coquettish,80.5
coquettishly,103.0
coquettishness,89.5
coquitoque,165.0
cor,64.5
coracine,91.0
coracinus,91.0
coracle,83.0
coracleas,96.0
coracles,136.0
coragio,196.0
corah,143.0
coraje,73.0
coral,107.0
corales,100.0
coralites,82.0
corallike,84.0
coralor,97.0
coralpink,101.0
corals,81.0
coram,77.0
corambus,148.0
corams,175.0
coramve,193.0
coranto,76.0
corantoed,168.0
corantos,103.0
corazn,57.0
corazoncillo,84.0
corazones,67.0
corbacho,146.0
corban,36.0
corbeau,71.0
corbeaux,72.0
corbeille,124.0
corbiere,124.0
corbo,154.0
corcelles,132.0
corchetes,116.0
corchuelo,86.5
corchuelos,115.0
corcorans,109.0
corcovada,58.0
corcovos,69.0
cord,87.0
corda,179.0
cordage,69.0
cordal,58.0
cordales,109.0
cordas,147.0
corday,130.0
corde,145.0
corded,91.0
cordel,106.0
cordelejo,137.0
cordeles,106.0
cordelia,56.0
cordelias,129.0
cordeliers,177.0
cordellate,42.0
corderie,113.0
corderilla,90.0
cordero,68.0
cordial,87.0
cordiale,74.0
cordiality,107.0
cordialityof,97.0
cordially,106.0
cordials,144.5
cording,74.0
cordis,161.5
cordobn,89.0
cordobs,91.0
cordoglio,105.0
cordon,108.5
cordones,55.0
cordova,116.0
cordovan,121.0
cords,85.0
cordu,91.0
cordura,81.0
corduroy,218.0
corduroys,166.0
cordus,174.0
cordwainers,52.0
cordwood,103.0
cordyllis,94.0
core,90.5
cored,103.0
corelation,109.0
coreligionists,59.0
corellas,215.0
cores,109.5
corespondent,70.0
corfu,112.0
coriander,87.0
coridon,178.0
corin,174.0
corinne,120.0
corinth,99.0
corinthe,54.0
corintheout,64.0
corinthian,138.0
corinthians,101.0
corinths,88.0
corinthum,90.0
corio,51.0
coriolanus,112.0
coriolanuswho,132.0
corioli,144.0
corivalld,95.0
cork,94.0
corkcutters,130.0
corked,136.0
corkfloat,40.0
corking,122.5
corkman,107.0
corks,128.0
corkscrew,113.5
corkscrews,152.0
corkscrewsall,97.0
corktree,123.0
corktreeaeneid,118.0
corky,87.0
corlaers,71.0
corlears,120.0
corlesss,113.0
corley,159.0
corleys,82.5
corliss,92.0
corma,96.0
cormac,132.0
cormacks,108.0
cormana,97.0
cormano,214.0
cormorant,108.5
cormorants,177.5
corn,75.0
cornado,130.0
cornall,55.0
cornbeef,190.0
cornbread,83.0
cornbrooms,154.0
cornchandler,93.0
corncob,114.0
corncobs,164.5
corncrake,240.0
corncrakes,80.0
corncribs,71.0
corncrust,92.0
corncutting,139.0
corndealer,56.0
corndealers,81.0
corndodgers,132.0
corne,70.0
cornea,108.0
corneae,72.0
corned,90.5
corneille,98.0
corneilleto,51.0
corneja,104.0
cornelia,84.0
cornelian,134.0
cornelians,110.0
cornelie,135.0
cornelius,100.0
corneliuss,146.0
cornells,119.0
corner,57.5
corneranchored,139.0
cornerboys,95.0
cornerbut,66.0
cornercap,95.0
cornercupboard,90.0
cornerd,111.0
cornered,66.0
cornerfor,89.0
cornergold,95.0
cornerman,77.0
cornerno,70.0
cornerone,62.0
cornerpieces,77.0
cornerposts,84.0
corners,78.0
cornerstone,109.0
cornerwise,103.0
cornet,157.0
corneta,94.0
cornetas,122.0
cornetcy,104.5
cornetdincourt,84.0
corneto,117.0
cornetplayer,124.0
cornets,134.0
corney,83.0
corneys,98.0
cornfactor,102.0
cornfide,121.0
cornfield,104.0
cornfields,138.0
cornflowers,83.5
cornhill,134.0
cornibus,98.0
cornicas,61.0
cornice,81.5
cornices,106.5
cornicesthat,106.0
cornicibus,184.0
cornie,89.0
cornish,75.5
cornishs,106.0
cornjobber,92.0
cornjuice,115.0
cornmeal,103.0
cornparching,144.0
cornpipe,131.0
cornpone,84.0
corns,98.0
cornsa,151.0
cornshuck,110.0
cornshucking,63.0
cornua,167.0
cornucopia,136.0
cornucopias,94.5
cornuto,154.0
cornwall,113.0
cornwallis,99.0
cornwalls,120.0
corny,61.0
coro,73.0
corolla,87.0
corollaries,59.0
corollary,88.0
coromandel,162.0
corona,98.5
coronaban,97.0
coronada,107.0
coronadas,151.0
coronado,67.0
coronados,141.0
coronal,124.0
coronan,85.0
coronaria,130.0
coronaron,72.0
coronarte,82.0
coronas,131.0
coronata,208.0
coronation,81.0
coronationday,149.0
coronations,69.0
corone,75.0
coroner,108.0
coroners,111.5
coroneryou,102.0
coronet,63.0
coronets,130.0
coronista,95.0
corot,84.0
corots,197.0
coroza,99.0
corpezuelo,117.0
corpora,167.0
corporal,81.0
corporales,97.0
corporall,148.0
corporally,70.0
corporals,115.0
corporate,128.0
corporation,158.0
corporations,87.0
corporators,42.5
corpore,115.0
corporeal,100.5
corporeall,92.0
corporeally,117.0
corpoream,99.0
corporeis,144.0
corporeity,236.0
corporibus,131.0
corporis,133.5
corporum,79.0
corps,71.5
corpsand,63.0
corpse,72.0
corpsebearers,94.0
corpsechewer,118.0
corpsecleaners,55.0
corpsegas,137.0
corpsehuck,286.0
corpselike,104.0
corpsemanure,115.0
corpseretribution,63.0
corpses,106.0
corpsestrewn,101.0
corpsstudent,48.0
corpswhom,60.0
corpulence,86.0
corpulent,109.0
corpus,105.0
corpusants,151.0
corpuscles,113.0
corpusnomine,109.0
corr,161.0
corra,118.0
corral,64.5
corrales,52.0
corran,114.0
corras,201.0
corre,159.0
correa,146.0
correas,115.0
correcin,46.0
correct,90.0
corrected,99.5
correctedno,156.0
correctedthats,106.0
correctest,90.0
correcteth,105.0
correcting,106.0
correction,97.0
correctional,99.0
correctioner,114.0
corrections,94.0
corrective,112.5
correctives,159.0
correctly,109.0
correctlymarg,55.0
correctness,84.5
correctnessof,85.0
correcto,51.0
corrector,67.5
corrects,94.0
correctthis,27.0
correctvery,154.0
corred,112.0
corrediza,117.0
corredor,106.0
corredores,111.0
correggio,70.0
correggios,107.0
correggiowas,100.0
corregido,90.0
corregidor,213.0
corregir,156.0
correlated,113.0
correlation,113.5
correlative,111.0
correlatives,86.0
corren,66.0
correo,104.0
correos,98.0
correosa,66.0
correptus,190.0
correr,66.0
correran,47.0
correrse,133.0
correrte,81.0
corres,109.0
correspond,87.5
corresponda,113.0
correspondan,112.0
correspondas,103.0
corresponde,133.0
corresponded,96.0
corresponden,121.0
correspondence,96.0
correspondencedaily,64.0
correspondences,151.0
correspondencia,110.0
correspondencias,131.0
correspondencies,80.0
correspondency,88.0
correspondent,76.0
correspondents,108.0
corresponder,88.0
corresponderos,135.0
correspondes,86.0
correspondeth,163.0
correspondi,67.0
correspondiendo,52.0
correspondiente,119.0
correspondiese,84.0
correspondiesen,115.0
corresponding,93.5
correspondingly,130.0
corresponds,112.0
correspondthe,109.0
corresponsive,144.0
corretor,124.0
corri,72.0
corrida,59.0
corridica,96.0
corrido,90.0
corridor,78.0
corridorla,96.0
corridorlamp,67.0
corridors,96.5
corridorsinstead,67.0
corridos,145.0
corridsimo,174.0
corriendo,61.0
corriente,55.0
corrientes,104.0
corriere,159.0
corrieron,157.0
corriesen,133.0
corrigan,168.0
corrige,76.0
corrigere,150.0
corrigi,88.0
corrigible,75.0
corrigiendo,137.0
corrija,104.0
corrillos,82.0
corripere,140.0
corrispondenze,47.0
corriste,95.0
corrivals,62.0
corro,115.0
corroberate,121.0
corroborarla,64.0
corroborate,83.0
corroborated,95.5
corroborates,101.0
corroborating,127.5
corroboration,112.0
corroborations,111.0
corroboratis,208.0
corroborative,101.5
corroded,66.5
corroding,144.0
corrolla,95.0
corrosion,114.5
corrosionbut,85.0
corrosive,94.0
corrugated,117.0
corrugations,167.0
corrumpier,208.0
corrupt,154.0
corrupta,103.0
corrupted,92.0
corruptedby,138.0
corrupter,94.0
corrupters,101.0
corruptest,83.0
corrupteth,127.0
corruptibility,160.0
corruptible,84.5
corruptibly,98.0
corrupting,82.5
corruptio,125.0
corruption,83.0
corruptionas,109.0
corruptionit,82.0
corruptions,92.5
corruptly,76.0
corruptor,85.0
corruptors,55.0
corrupts,106.0
corsage,121.0
corsair,67.5
corsaire,71.0
corsairs,68.5
corsairsong,61.0
corse,80.0
corselet,111.0
corses,91.5
corset,93.0
corsetage,121.0
corsetlace,126.0
corsets,138.0
corsica,43.0
corsican,81.0
corsicans,67.0
corsicathe,119.0
corsinari,103.0
corslet,180.0
corslets,124.0
corso,56.0
cort,182.5
corta,108.0
cortaba,141.0
cortaban,80.0
cortada,105.0
cortadillo,76.0
cortado,85.0
cortadoras,55.0
cortamente,93.0
cortando,141.0
cortapisas,114.0
cortar,45.0
cortara,132.0
cortares,78.0
cortarlas,84.0
cortarme,121.0
cortaron,126.0
corte,76.0
cortedad,97.0
cortege,103.0
corten,64.0
cortes,125.0
cortesa,71.0
cortesana,62.0
cortesanas,148.0
cortesano,152.0
cortesanos,184.0
cortesas,111.0
corteses,181.0
cortessimamente,115.0
cortessimo,84.0
cortex,131.0
cortez,77.0
corteza,89.0
cortezas,108.0
cortge,83.5
cortice,50.0
cortinas,64.0
corto,108.5
cortos,59.0
corts,93.0
cortsmente,151.0
coruncanium,141.0
coruncanius,114.0
coruscating,113.0
coruscations,111.0
corusco,133.0
corva,135.0
corvetas,151.0
corvette,70.0
corvi,172.0
corvinus,82.0
corvisart,85.0
corvo,109.0
corybantes,97.0
corybantian,97.0
corydon,83.0
cos,163.0
cosa,41.0
cosam,55.0
cosaques,99.0
cosario,136.0
cosarios,67.0
cosas,38.0
coscorrones,66.0
cose,123.0
cosecha,109.0
cosechas,145.0
coselete,110.0
coselli,118.0
cosen,95.0
cosens,56.0
coser,62.0
cosette,30.0
cosettecosette,90.0
cosettei,125.0
cosettes,61.0
cosettethe,114.0
cosettewe,25.0
cosey,96.0
cosi,95.5
cosida,99.0
cosidas,89.0
cosido,113.0
cosidos,188.0
cosieron,104.0
cosillas,133.0
cosily,76.0
cosmetic,105.0
cosmetics,111.0
cosmgrafo,79.0
cosmi,144.0
cosmic,90.0
cosmical,85.0
cosmo,154.0
cosmogonal,124.0
cosmogonic,151.0
cosmogony,71.5
cosmografa,103.0
cosmographer,100.0
cosmographers,102.0
cosmography,84.0
cosmological,176.0
cosmopoli,295.0
cosmopolitan,117.0
cosmopolitana,77.0
cosmopolite,66.5
cosmos,82.0
cosqueamos,124.0
cosquillas,78.0
coss,112.0
cossack,90.0
cossacks,47.5
cossackwere,105.0
cossette,193.0
cossians,53.0
cossii,87.0
cossitius,90.0
cossonerie,101.0
cossus,73.0
cost,69.0
costa,88.0
costado,70.0
costal,95.0
costantinopla,99.0
costar,77.0
costara,130.0
costard,109.0
costarles,111.0
costarme,126.0
costarn,111.0
costaron,138.0
costas,90.0
costase,168.0
costbag,156.0
costdrawer,130.0
coste,62.0
costello,116.0
coster,210.5
costermonger,73.5
costermongers,147.0
costers,135.0
costeth,91.0
costezuela,103.0
costi,194.0
costilla,72.0
costillas,86.0
costing,77.0
costis,236.0
costive,91.5
costless,79.0
costlier,90.0
costliest,104.5
costliness,49.0
costly,109.0
costlycoloured,171.0
costnonius,98.0
costo,61.0
costor,192.0
costosa,55.0
costs,173.0
costumbre,33.0
costumbres,73.0
costume,94.0
costumea,128.0
costumed,109.0
costumer,75.0
costumes,100.5
costumesgigantic,196.0
costumethat,43.0
costumiers,110.0
costura,124.0
costus,161.0
costwho,55.0
cosway,162.0
cosy,98.0
cot,68.0
cotch,101.0
cote,134.5
coted,66.0
cotejando,124.0
cotemporaries,78.0
coterie,76.0
coteries,86.5
cotes,145.0
cotgraves,121.0
cotillion,122.0
cotillions,145.0
cotillons,65.0
cotiret,192.0
coto,85.0
coton,114.5
cotona,131.0
cotopaxi,107.0
cotquean,105.0
cots,72.5
cotsall,102.0
cotsole,101.0
cotswold,154.0
cotta,119.5
cottage,63.0
cottagebut,111.0
cottagedoor,87.0
cottagedoors,103.0
cottagegate,82.0
cottageour,71.0
cottager,96.0
cottageroom,112.0
cottagers,84.0
cottagerstheir,120.0
cottages,96.0
cottagesand,163.0
cottageyour,266.0
cotter,116.0
cotters,94.0
cottin,141.0
cottle,132.0
cotton,84.0
cottonball,131.0
cottonbelt,63.0
cottoned,59.0
cottonfield,73.0
cottonfields,79.0
cottongin,81.5
cottongins,87.0
cottongrass,139.0
cottonlands,94.0
cottonleaves,104.0
cottonmarket,74.0
cottonmills,51.0
cottonopolis,101.0
cottonrows,74.0
cottons,107.5
cottonwood,136.5
cottonwoods,50.0
cottonwoodtrees,97.0
cottonwool,78.5
cotufas,73.0
cotus,164.0
cotyius,99.0
cotyledons,126.0
cotys,120.0
couch,69.0
couchant,111.0
couchd,128.0
couche,87.0
couched,73.0
couches,107.0
coucheth,71.0
couchgrass,102.0
couchhe,61.0
couchher,83.0
couching,91.0
couchings,84.0
couchmartial,47.5
coucht,111.0
couchwhile,64.0
coucous,30.0
coude,142.0
cougar,66.0
cough,89.0
coughball,111.0
coughcough,149.0
coughcoughcough,50.0
coughed,100.0
coughhad,69.0
coughhe,171.0
coughing,94.0
coughit,90.0
coughmixture,74.0
coughs,114.0
coughthe,112.0
cougourde,102.0
could,32.0
couldafter,95.0
couldah,97.0
couldbut,52.0
couldcould,34.0
couldcouldnt,80.0
couldest,67.0
couldhow,83.0
couldi,113.0
couldin,113.0
couldn,81.0
couldnt,65.0
couldntand,142.0
couldntbank,105.0
couldnti,101.0
couldntin,132.0
couldntoh,31.0
couldor,92.0
couldpreferably,107.0
couldshe,66.0
couldst,95.5
couldthat,74.0
